sceAta_driver
  0xFD183BCF, sceDmacplusSc128LLI
sceDdr_driver
  0x17D39E17, sceDdrInit
  0x8698F5DA, sceDdrEnd
  0x623A233F, sceDdrSuspend
  0x92289EC0, sceDdrResume
  0xD7C6C313, sceDdrSetup
  0x4CE55E76, sceDdrChangePllClock
  0x87D86769, sceDdrFlush
  0x286E1372, sceDdr_driver_286E1372
  0x0DC43DE4, sceDdr_driver_0DC43DE4
  0x7251F5AB, sceDdr_driver_7251F5AB
  0x5B5831E5, sceDdr_driver_5B5831E5
  0xF23B7983, sceDdr_driver_F23B7983
  0x655A9AB0, sceDdrWriteMaxAllocate
  0x6955346C, sceDdr_driver_6955346C
  0x6078F911, sceDdr_driver_6078F911
  0x91CD8F94, sceDdrResetDevice
  0xB5694ECD, sceDdr_driver_B5694ECD
sceNand_driver
  0xA513BB12, sceNandInit
  0xD305870E, sceNandEnd
  0x73A68408, sceNandSuspend
  0x0F9BBBBD, sceNandResume
  0x84EE5D76, sceNandSetWriteProtect
  0xAE4438C7, sceNandLock
  0x41FFA822, sceNandUnlock
  0xE41A11DE, sceNandReadStatus
  0x7AF7B77A, sceNandReset
  0xFCDF7610, sceNandReadId
  0x89BDCA08, sceNandReadPages
  0x8AF0AB9F, sceNandWritePages
  0xE05AE88D, sceNand_driver_E05AE88D
  0x8932166A, sceNand_driver_8932166A
  0xC478C1DE, sceNand_driver_C478C1DE
  0xBADD5D46, sceNand_driver_BADD5D46
  0x766756EF, sceNandReadAccess
  0x0ADC8686, sceNandWriteAccess
  0xEB0A0022, sceNandEraseBlock
  0x5182C394, sceNandReadExtraOnly
  0xEF55F193, sceNandCalcEcc
  0x18B78661, sceNandVerifyEcc
  0xB795D2ED, sceNandCollectEcc
  0xD897C343, sceNandDetectChip
  0xCE9843E6, sceNandGetPageSize
  0xB07C41D4, sceNandGetPagesPerBlock
  0xC1376222, sceNandGetTotalBlocks
  0x716CD2B2, sceNandWriteBlock
  0xB2B021E5, sceNandWriteBlockWithVerify
  0xC32EA051, sceNandReadBlockWithRetry
  0x5AC02755, sceNandVerifyBlockWithRetry
  0x8933B2E0, sceNandEraseBlockWithRetry
  0x01F09203, sceNandIsBadBlock
  0xC29DA136, sceNand_driver_C29DA136
  0x3F76BC21, sceNand_driver_3F76BC21
  0xEBA0E6C6, sceNand_driver_EBA0E6C6
  0x2FF6081B, sceNandDetectChipMakersBBM
  0x2674CFFE, sceNandEraseAllBlock
  0x9B2AC433, sceNandTestBlock
ExceptionManagerForKernel
  0x3FB264FC, sceKernelRegisterExceptionHandler
  0x5A837AD4, sceKernelRegisterPriorityExceptionHandler
  0x565C0B0E, sceKernelRegisterDefaultExceptionHandler
  0x1AA6CFFA, sceKernelReleaseExceptionHandler
  0xDF83875E, sceKernelGetActiveDefaultExceptionHandler
  0x291FF031, sceKernelReleaseDefaultExceptionHandler
  0x15ADC862, sceKernelRegisterNmiHandler
  0xB15357C9, sceKernelReleaseNmiHandler
sceFatMS_driver
  0xBCB9DEDB, sceFatMS_driver_BCB9DEDB
sceGe_driver
  0x71FCD1D6, sceGeInit
  0x9F2C2948, sceGeEnd
  0x8F185DF7, sceGeEdramInit
  0x1F6752AD, sceGeEdramGetSize
  0xE47E40E4, sceGeEdramGetAddr
  0xB77905EA, sceGeEdramSetAddrTranslation
  0xB415364D, sceGeGetReg
  0xDC93CFEF, sceGeGetCmd
  0x57C8945B, sceGeGetMtx
  0x438A385A, sceGeSaveContext
  0x0BF608FB, sceGeRestoreContext
  0xAB49E76A, sceGeListEnQueue
  0x1C0D95A6, sceGeListEnQueueHead
  0x5FB86AB0, sceGeListDeQueue
  0xE0D68148, sceGeListUpdateStallAddr
  0x03444EB4, sceGeListSync
  0xB287BD61, sceGeDrawSync
  0xB448EC0D, sceGeBreak
  0x4C06E472, sceGeContinue
  0xA4FC06A4, sceGeSetCallback
  0x05DB22CE, sceGeUnsetCallback
  0x9DA4A75F, sceGe_driver_9DA4A75F
  0x114E1745, sceGe_driver_114E1745
sceGe_user
  0x1F6752AD, sceGeEdramGetSize
  0xE47E40E4, sceGeEdramGetAddr
  0xB77905EA, sceGeEdramSetAddrTranslation
  0xDC93CFEF, sceGeGetCmd
  0x57C8945B, sceGeGetMtx
  0x438A385A, sceGeSaveContext
  0x0BF608FB, sceGeRestoreContext
  0xAB49E76A, sceGeListEnQueue
  0x1C0D95A6, sceGeListEnQueueHead
  0x5FB86AB0, sceGeListDeQueue
  0xE0D68148, sceGeListUpdateStallAddr
  0x03444EB4, sceGeListSync
  0xB287BD61, sceGeDrawSync
  0xB448EC0D, sceGeBreak
  0x4C06E472, sceGeContinue
  0xA4FC06A4, sceGeSetCallback
  0x05DB22CE, sceGeUnsetCallback
sceGpio_driver
  0xEABDB328, sceGpioInit
  0x4A992B24, sceGpioEnd
  0x17DAA8C2, sceGpioSuspend
  0x64CD4536, sceGpioResume
  0x4250D44A, sceGpioPortRead
  0x310F0CCF, sceGpioPortSet
  0x103C3EB2, sceGpioPortClear
  0x95135905, sceGpio_driver_95135905
  0x317D9D2C, sceGpioSetPortMode
  0xCA8BE2EA, sceGpioGetPortMode
  0x37C8DADC, sceGpioSetIntrMode
  0xF856CE46, sceGpioGetIntrMode
  0x785206CD, sceGpioEnableIntr
  0x95D7F3B8, sceGpioDisableIntr
  0x31F34AE6, sceGpioQueryIntr
  0xBE77D1D0, sceGpioAcquireIntr
  0xC6928224, sceGpio_driver_C6928224
  0x6B38B826, sceGpio_driver_6B38B826
sceHprm
  0xC7154136, sceHprmRegisterCallback
  0x444ED0B7, sceHprmUnregisterCallback
  0x208DB1BD, sceHprmIsRemoteExist
  0x7E69EDA4, sceHprmIsHeadphoneExist
  0x219C58F1, sceHprmIsMicrophoneExist
  0x1910B327, sceHprmPeekCurrentKey
  0x2BCEC83E, sceHprmPeekLatch
  0x40D2F9F0, sceHprmReadLatch
sceHprm_driver
  0x1C5BC5A0, sceHprmInit
  0x588845DA, sceHprmEnd
  0x526BB7F4, sceHprmSuspend
  0x2C7B8B05, sceHprmResume
  0xD22913DB, sceHprmSetConnectCallback
  0xC7154136, sceHprmRegisterCallback
  0x444ED0B7, sceHprmUnregisterCallback
  0x208DB1BD, sceHprmIsRemoteExist
  0x7E69EDA4, sceHprmIsHeadphoneExist
  0x219C58F1, sceHprmIsMicrophoneExist
  0x4D1E622C, sceHprmReset
  0x7B038374, sceHprmGetInternalState
  0xF04591FA, sceHprm_driver_F04591FA
  0x971AE8FB, sceHprm_driver_971AE8FB
  0xBAD0828E, sceHprmGetModel
  0x1910B327, sceHprmPeekCurrentKey
  0x2BCEC83E, sceHprmPeekLatch
  0x40D2F9F0, sceHprmReadLatch
sceI2c_driver
  0x20ADF12A, sceI2cInit
  0x4809D85F, sceI2cEnd
  0x21A8282C, sceI2cSuspend
  0xB952BA65, sceI2cResume
  0xDB6C4F9B, sceI2c_driver_DB6C4F9B
  0x0397408B, sceI2c_driver_0397408B
  0x17B0DA59, sceI2cReset
  0xD6E9836A, sceI2cSetClock
  0xE9463B99, sceI2cMasterTransmit
  0xF87D1ED6, sceI2cMasterReceive
  0x6536B1B6, sceI2cMasterTransmitReceive
sceIdStorage_driver
  0xAB129D20, sceIdStorageInit
  0x2CE0BE69, sceIdStorageEnd
  0xF77565B6, sceIdStorageSuspend
  0xFE51173D, sceIdStorageResume
  0xEB830733, sceIdStorageGetLeafSize
  0xFEFA40C2, sceIdStorageIsFormatted
  0x2D633688, sceIdStorageIsReadOnly
  0xB9069BAD, sceIdStorageIsDirty
  0x958089DB, sceIdStorageFormat
  0xF4BCB3EE, sceIdStorageUnformat
  0xEB00C509, sceIdStorageReadLeaf
  0x1FA4D135, sceIdStorageWriteLeaf
  0x08A471A6, sceIdStorageCreateLeaf
  0x2C97AB36, sceIdStorageDeleteLeaf
  0x99ACCB71, sceIdStorage_driver_99ACCB71
  0x37833CB8, sceIdStorage_driver_37833CB8
  0x31E08AFB, sceIdStorageEnumId
  0x6FE062D1, sceIdStorageLookup
  0x683AAC10, sceIdStorageUpdate
  0x3AD32523, sceIdStorageFlush
sceNetIfhandle
  0xC80181A2, sceNetGetDropRate
  0xFD8585E1, sceNetSetDropRate
sceNetIfhandle_lib
  0x30F69334, sceNetIfhandleInit
  0xB9096E48, sceNetIfhandleTerm
  0xB8188F96, sceNetIfhandle_lib_B8188F96
  0x4FB43BCE, sceNetIfhandle_lib_4FB43BCE
  0xB1F5BB87, sceNetIfhandleIfStart
  0x8FCB05A1, sceNetIfhandleIfUp
  0xEAD3A759, sceNetIfhandleIfDown
  0x0296C7D6, sceNetIfhandleIfIoctl
  0xE440A7D8, sceNetIfhandleIfDequeue
  0x30602CE9, sceNetIfhandleSignalSema
  0xD5DA7B3C, sceNetIfhandleWaitSema
  0x2162EE67, sceNetIfhandlePollSema
  0x0C391E9F, sceNetIfhandle_lib_0C391E9F
  0x29ED84C5, sceNetIfhandle_lib_29ED84C5
  0x15CFE3C0, sceNetMallocInternal
  0x76BAD213, sceNetFreeInternal
  0x4C2886CB, sceNetGetMallocStatInternal
  0x0FB8AE0D, sceNetIfhandle_lib_0FB8AE0D
  0x5FB31C72, sceNetIfhandle_lib_5FB31C72
  0x62B20015, sceNetIfhandle_lib_62B20015
  0xBFF3CEA5, sceNetMAdj
  0x3E8DD3F8, sceNetMCat
  0x1560F143, sceNetMCopyback
  0x9A6261EC, sceNetIfhandle_lib_9A6261EC
  0x456E3146, sceNetIfhandle_lib_456E3146
  0x955F2924, sceNetIfhandle_lib_955F2924
  0x6AB53C27, sceNetMDup
  0xF8825DC4, sceNetMFree
  0xF56FAC82, sceNetMFreem
  0xA493AA5F, sceNetMGet
  0x59F0D619, sceNetIfhandle_lib_59F0D619
  0x4CF15C43, sceNetIfhandle_lib_4CF15C43
  0xC3325FDC, sceNetMPrepend
  0xE80F00A4, sceNetIfhandle_lib_E80F00A4
  0x49EDBB18, sceNetIfhandle_lib_49EDBB18
sceNetIfhandle_driver
  0x30F69334, sceNetIfhandleInit
  0xB9096E48, sceNetIfhandleTerm
  0xB8188F96, sceNetIfhandle_driver_B8188F96
  0x4FB43BCE, sceNetIfhandle_driver_4FB43BCE
  0xB1F5BB87, sceNetIfhandleIfStart
  0x8FCB05A1, sceNetIfhandleIfUp
  0xEAD3A759, sceNetIfhandleIfDown
  0x0296C7D6, sceNetIfhandleIfIoctl
  0xE440A7D8, sceNetIfhandleIfDequeue
  0x30602CE9, sceNetIfhandleSignalSema
  0xD5DA7B3C, sceNetIfhandleWaitSema
  0x2162EE67, sceNetIfhandlePollSema
  0x16042084, sceNetIfhandle_driver_16042084
  0xC9344A59, sceNetIfhandle_driver_C9344A59
  0xAE81C0CB, sceNetIfhandle_driver_AE81C0CB
  0x54D1AEA1, sceNetIfhandle_driver_54D1AEA1
  0xF94BAF52, sceNetIfhandle_driver_F94BAF52
  0x263767F6, sceNetIfhandle_driver_263767F6
  0xE2F4F1C9, sceNetIfDequeue
  0xC28F6FF2, sceNetIfEnqueue
  0x16246B99, sceNetIfPrepend
  0xC6D14282, sceNetIfhandle_driver_C6D14282
  0xD5AD6DEA, sceNetIfhandle_driver_D5AD6DEA
  0x0C391E9F, sceNetIfhandle_driver_0C391E9F
  0x29ED84C5, sceNetIfhandle_driver_29ED84C5
  0x15CFE3C0, sceNetMallocInternal
  0x76BAD213, sceNetFreeInternal
  0x4C2886CB, sceNetGetMallocStatInternal
  0x0FB8AE0D, sceNetIfhandle_driver_0FB8AE0D
  0x5FB31C72, sceNetIfhandle_driver_5FB31C72
  0x62B20015, sceNetIfhandle_driver_62B20015
  0xBFF3CEA5, sceNetMAdj
  0x3E8DD3F8, sceNetMCat
  0x1560F143, sceNetMCopyback
  0x9A6261EC, sceNetIfhandle_driver_9A6261EC
  0x456E3146, sceNetIfhandle_driver_456E3146
  0x955F2924, sceNetIfhandle_driver_955F2924
  0x6AB53C27, sceNetMDup
  0xF8825DC4, sceNetMFree
  0xF56FAC82, sceNetMFreem
  0xA493AA5F, sceNetMGet
  0x59F0D619, sceNetIfhandle_driver_59F0D619
  0x4CF15C43, sceNetIfhandle_driver_4CF15C43
  0xC3325FDC, sceNetMPrepend
  0xE80F00A4, sceNetIfhandle_driver_E80F00A4
  0x49EDBB18, sceNetIfhandle_driver_49EDBB18
  0x0542835F, sceNetIfhandle_driver_0542835F
  0x773FC77C, sceNetIfhandle_driver_773FC77C
  0x9CBA24D4, sceNetIfhandle_driver_9CBA24D4
  0xC5623112, sceNetIfhandle_driver_C5623112
  0xC80181A2, sceNetGetDropRate
  0xFD8585E1, sceNetSetDropRate
